Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-10-24,AIR FRANCE NEW YORK,AIR FRANCE NEW YORK,725.4,debit,Air Travel,American Express Gold,,
2023-10-21,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,15.21,debit,Groceries,American Express Gold,,
2023-10-16,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,212.73,debit,Shopping,American Express Gold,,Record player
2023-10-15,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,59.97,debit,Groceries,American Express Gold,,
2023-10-13,AplPay PERC ATLANTA Atlanta GA,AplPay PERC ATLANTA Atlanta GA,8.08,debit,Coffee Shops,American Express Gold,,
2023-10-12,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,5.0,debit,Shopping,American Express Gold,,
2023-10-12,AMAZON SHOP WITH POINTS CREDIT,AMAZON SHOP WITH POINTS CREDIT,5.0,credit,Shopping,American Express Gold,,
2023-10-09,TST* RREAL TACOS -ATATLANTA GA,TST* RREAL TACOS -ATATLANTA GA,16.65,debit,Restaurants,American Express Gold,,
2023-10-01,UBER EATS HTTPS://HELP.UBER.COCA,UBER EATS HTTPS://HELP.UBER.COCA,18.69,debit,Food Delivery,American Express Gold,,
2023-09-28,BLUEAPRON* ORDER NEW YORK CITY NY,BLUEAPRON* ORDER NEW YORK CITY NY,47.12,credit,Meal Delivery,American Express Gold,,
2023-09-27,BLUEAPRON* ORDER NEW YORK CITY NY,BLUEAPRON* ORDER NEW YORK CITY NY,47.12,debit,Meal Delivery,American Express Gold,,
2023-09-25,AMEX Dining Credit,AMEX Dining Credit,10.0,credit,Statement Credits,American Express Gold,,
2023-09-23,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,522.0,credit,Credit Card Payment,American Express Gold,,
2023-09-23,GRUBHUB*RAYSNEWYORKPNEW YORK NY,GRUBHUB*RAYSNEWYORKPNEW YORK NY,22.86,debit,Restaurants,American Express Gold,,
2023-09-19,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,4.72,credit,Groceries,American Express Gold,,
2023-09-19,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,61.92,debit,Groceries,American Express Gold,,
2023-09-09,PEP BOYS STORE # 179ATLANTA GA,PEP BOYS STORE # 179ATLANTA GA,36.0,credit,Service & Parts,American Express Gold,,
2023-09-08,ADJ REDIST PURCHASE BAL,ADJ REDIST PURCHASE BAL,10.01,credit,Transfer,American Express Gold,,
2023-09-08,DR ADJ REDIST CADV PRIN,DR ADJ REDIST CADV PRIN,10.01,debit,Transfer,American Express Gold,,
2023-09-05,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,42.81,debit,Groceries,American Express Gold,,
2023-09-01,AMAZON SHOP WITH POINTS CREDIT,AMAZON SHOP WITH POINTS CREDIT,0.01,credit,Sporting Goods,American Express Gold,,
2023-09-01,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,25.43,debit,Sporting Goods,American Express Gold,,
2023-09-01,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,0.01,debit,Sporting Goods,American Express Gold,,
2023-08-31,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,65.33,debit,Groceries,American Express Gold,,
2023-08-30,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,100.32,debit,Parents,American Express Gold,,
2023-08-30,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,50.0,debit,Mobile Phone,American Express Gold,,
2023-08-28,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,1.75,debit,Shopping,American Express Gold,,
2023-08-28,UBER EATS help.uber.com CA,UBER EATS help.uber.com CA,30.71,debit,Restaurants,American Express Gold,,
2023-08-28,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,26.11,debit,Shopping,American Express Gold,,
2023-08-28,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,24.26,credit,Shopping,American Express Gold,,
2023-08-27,CR ADJ FOR BILLING INQUIR,CR ADJ FOR BILLING INQUIR,10.0,credit,Statement Credits,American Express Gold,,
2023-08-27,MINT MOBILE COSTA MESA,MINT MOBILE COSTA MESA,25.0,credit,Mobile Phone,American Express Gold,,
2023-08-25,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,350.04,credit,Transfer,American Express Gold,,
2023-08-25,MINT MOBILE COSTA MESA CA,MINT MOBILE COSTA MESA CA,54.57,debit,Mobile Phone,American Express Gold,,
2023-08-23,PETWELL VETERINARY HATLANTA GA,PETWELL VETERINARY HATLANTA GA,182.32,debit,Veterinary,American Express Gold,,
2023-08-19,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,31.96,debit,Groceries,American Express Gold,,
2023-08-17,PAYPAL *NIKE.COM XXXXXX9712 OR,PAYPAL *NIKE.COM XXXXXX9712 OR,95.83,credit,Sporting Goods,American Express Gold,,
2023-08-17,PAYPAL *NIKE.COM XXXXXX9712 OR,PAYPAL *NIKE.COM XXXXXX9712 OR,104.52,credit,Sporting Goods,American Express Gold,,
2023-08-17,CHIPOTLE ONLINE NEWPORT BEACH CA,CHIPOTLE ONLINE NEWPORT BEACH CA,10.67,debit,Fast Food,American Express Gold,,
2023-08-09,AMEX Dining Credit,AMEX Dining Credit,10.0,credit,Statement Credits,American Express Gold,,
2023-08-06,LYFT XXX-XXX-0278 CA,LYFT XXX-XXX-0278 CA,11.99,debit,Ride Share,American Express Gold,,
2023-08-06,LYFT XXX-XXX-0278 CA,LYFT XXX-XXX-0278 CA,11.52,debit,Ride Share,American Express Gold,,
2023-08-05,GRUBHUB* RAYSNEWYORKCHICAGO IL,GRUBHUB* RAYSNEWYORKCHICAGO IL,23.96,debit,Restaurants,American Express Gold,,
2023-07-31,Victory Sandwich BarAtlanta GA,Victory Sandwich BarAtlanta GA,108.09,debit,Restaurants,American Express Gold,,
2023-07-31,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,100.32,debit,Parents,American Express Gold,,
2023-07-31,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,50.0,debit,Mobile Phone,American Express Gold,,
2023-07-30,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,28.86,debit,Alcohol & Bars,American Express Gold,,
2023-07-30,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,14.43,debit,Alcohol & Bars,American Express Gold,,
2023-07-30,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,7.71,debit,Alcohol & Bars,American Express Gold,,
2023-07-30,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,28.86,debit,Alcohol & Bars,American Express Gold,,
2023-07-30,PORTER BBQ & BREWERYATLANTA GA,PORTER BBQ & BREWERYATLANTA GA,20.01,debit,Alcohol & Bars,American Express Gold,,
2023-07-29,HOMEDEPOT.COM XXX-XXX-3376 GA,HOMEDEPOT.COM XXX-XXX-3376 GA,65.31,debit,Home Supplies,American Express Gold,,
2023-07-29,ADIDAS US ONLINE STOXXX-XXX-9337 OR,ADIDAS US ONLINE STOXXX-XXX-9337 OR,98.01,credit,Sporting Goods,American Express Gold,,
2023-07-25,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,2214.63,credit,Transfer,American Express Gold,,
2023-07-23,BT*FRESHTX*MONDAY NIATLANTA GA,BT*FRESHTX*MONDAY NIATLANTA GA,148.35,debit,Alcohol & Bars,American Express Gold,,
2023-07-15,TIFF'S TREATS.......AUSTIN TX,TIFF'S TREATS.......AUSTIN TX,13.06,debit,Restaurants,American Express Gold,Dessert,
2023-07-11,LYFT *RIDE SAT XXPXXX-XXX-9553 CA,LYFT *RIDE SAT XXPXXX-XXX-9553 CA,25.93,debit,Ride Share,American Express Gold,,
2023-07-10,ADJ REDIST PURCHASE BAL,ADJ REDIST PURCHASE BAL,0.01,credit,Transfer,American Express Gold,,
2023-07-10,DR ADJ REDIST CADV PRIN,DR ADJ REDIST CADV PRIN,0.01,debit,Transfer,American Express Gold,,
2023-07-09,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,6.59,debit,Personal Care,American Express Gold,,
2023-07-09,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,22.04,debit,Groceries,American Express Gold,,
2023-07-09,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,1.26,debit,Pet Food & Supplies,American Express Gold,,
2023-07-08,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,5.33,debit,Pet Food & Supplies,American Express Gold,,
2023-07-08,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,17.31,debit,Home Supplies,American Express Gold,,
2023-07-07,AMAZON SHOP WITH POINTS CREDIT,AMAZON SHOP WITH POINTS CREDIT,0.01,credit,Statement Credits,American Express Gold,,
2023-07-07,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,0.01,debit,Statement Credits,American Express Gold,,
2023-07-06,PEP BOYS STORE # 179ATLANTA GA,PEP BOYS STORE # 179ATLANTA GA,1125.22,debit,Service & Parts,American Express Gold,,
2023-07-05,TEMU.COM WILMINGTON DE,TEMU.COM WILMINGTON DE,0.07,credit,Home Supplies,American Express Gold,,
2023-07-04,LYFT *RIDE SUN XXPXXX-XXX-9553 CA,LYFT *RIDE SUN XXPXXX-XXX-9553 CA,8.99,debit,Ride Share,American Express Gold,,
2023-07-04,Amazon Prime Amazon.com WA,Amazon Prime Amazon.com WA,69.0,debit,Shopping,American Express Gold,,
2023-07-03,TST* PIZZA JEANS LLCATLANTA GA,TST* PIZZA JEANS LLCATLANTA GA,6.72,debit,Restaurants,American Express Gold,,
2023-07-03,THE TAP ON PONCE 000ATLANTA GA,THE TAP ON PONCE 000ATLANTA GA,21.67,debit,Alcohol & Bars,American Express Gold,,
2023-07-03,TST* NEW REALM BREWIATLANTA GA,TST* NEW REALM BREWIATLANTA GA,9.71,debit,Alcohol & Bars,American Express Gold,,
2023-07-03,BLAKE'S ON THE PARK ATLANTA GA,BLAKE'S ON THE PARK ATLANTA GA,15.0,debit,Alcohol & Bars,American Express Gold,,
2023-07-02,Amazon Web Services AWS.Amazon.com WA,Amazon Web Services AWS.Amazon.com WA,0.15,debit,Electronics & Software,American Express Gold,,
2023-06-29,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,50.0,debit,Mobile Phone,American Express Gold,,
2023-06-29,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,100.35,debit,Parents,American Express Gold,,
2023-06-27,PAYPAL *NIKE.COM XXXXXX9712 OR,PAYPAL *NIKE.COM XXXXXX9712 OR,265.69,debit,Transfer,American Express Gold,,
2023-06-27,BATAVIA III 0001 ATLANTA GA,BATAVIA III 0001 ATLANTA GA,70.28,debit,Restaurants,American Express Gold,,
2023-06-27,PUBLIX ATLANTA GA,PUBLIX ATLANTA GA,39.14,debit,Groceries,American Express Gold,,
