Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-08-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,14.28,debit,Groceries,Amazon Business Prime,,
2023-08-30,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,20.9,credit,Furnishings,Amazon Business Prime,,
2023-08-30,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,21.29,credit,Home Supplies,Amazon Business Prime,,
2023-08-29,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,39.79,credit,Pet Food & Supplies,Amazon Business Prime,,
2023-08-24,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,1182.14,credit,Transfer,Amazon Business Prime,,
2023-08-23,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,3.23,debit,Home Supplies,Amazon Business Prime,,
2023-08-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-08-16,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,54.44,credit,Transfer,Amazon Business Prime,Amazon,
2023-08-13,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,20.9,debit,Furnishings,Amazon Business Prime,,
2023-08-10,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,45.67,debit,Home Supplies,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,1.78,debit,Home Supplies,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,39.79,debit,Pet Food & Supplies,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,5.78,debit,Hair,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,3.28,debit,Groceries,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,4.16,debit,Home Supplies,Amazon Business Prime,,
2023-07-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,9.52,debit,Groceries,Amazon Business Prime,,
2023-07-30,WALMART.COM XXXX6665BENTONVILLE AR,WALMART.COM XXXX6665BENTONVILLE AR,358.28,debit,Electronics & Software,Amazon Business Prime,,
2023-07-29,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,326.69,debit,Electronics & Software,Amazon Business Prime,,
2023-07-29,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,37.02,debit,Shopping,Amazon Business Prime,,
2023-07-26,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,25.42,debit,Parents,Amazon Business Prime,,
2023-07-25,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,54.44,debit,Transfer,Amazon Business Prime,,
2023-07-24,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,264.88,credit,Transfer,Amazon Business Prime,,
