Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-11-30,VENMO,VENMO,10.08,credit,Transfer,SoFi Savings,,
2023-11-30,Interest earned,Interest earned,136.96,credit,Interest Income,SoFi Savings,,
2023-11-30,Interest earned,Interest earned,75.04,credit,Interest Income,SoFi Savings,,
2023-11-29,"BLOCK, INC.","BLOCK, INC.",1949.41,credit,Income,SoFi Savings,,
2023-11-28,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-11-28,MSPBNA BANK,MSPBNA BANK,0.06,credit,Transfer,SoFi Savings,,
2023-11-28,MSPBNA BANK,MSPBNA BANK,0.02,credit,Transfer,SoFi Savings,,
2023-11-27,Comcast,COMCAST 8220188,25.0,debit,Internet,SoFi Savings,,
2023-11-27,AMEX EPAYMENT,AMEX EPAYMENT,1158.6,debit,Credit Card Payment,SoFi Savings,,
2023-11-27,VENMO,VENMO,17.0,debit,Transfer,SoFi Savings,,
2023-11-24,CHASE CREDIT CRD,CHASE CREDIT CRD,404.28,debit,Credit Card Payment,SoFi Savings,,
2023-11-24,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-11-22,GPC,GPC,77.46,debit,Electricity,SoFi Savings,,
2023-11-22,Zap Solutions I,"Zap Solutions, I",140.0,debit,Kratom,SoFi Savings,,
2023-11-16,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-11-15,VENMO,VENMO,671.0,debit,Transfer,SoFi Savings,,
2023-11-14,"BLOCK, INC.","BLOCK, INC.",1949.42,credit,Income,SoFi Savings,,
2023-11-13,SOFI SECURITIES,SOFI SECURITIES,3000.0,debit,Transfer,SoFi Savings,,
2023-11-13,AMEX EPAYMENT,AMEX EPAYMENT,424.53,debit,Credit Card Payment,SoFi Savings,,
2023-11-12,SoFi Rewards Redemption,SoFi Rewards Redemption,0.2,credit,Income,SoFi Savings,,
2023-11-10,PAYPAL,PAYPAL,299.99,credit,Electronics & Software,SoFi Savings,,
2023-11-10,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
